Role,Skills
Data Scientist,"Python Machine Learning SQL Pandas NumPy Statistics"
Backend Developer,"Java Python SQL APIs Django Flask"
Frontend Developer,"HTML CSS JavaScript React UI UX"
DevOps Engineer,"AWS Docker Kubernetes Linux CI/CD"
Cloud Architect,"AWS Azure Cloud Security Networking"
AI Engineer,"Python Deep Learning NLP TensorFlow PyTorch"
Cyber Security Analyst,"Network Security Ethical Hacking Linux"
Mobile App Developer,"Flutter Dart Android iOS Firebase"
Full Stack Developer,"HTML CSS JavaScript Python Node.js React SQL"
Database Administrator,"SQL MySQL PostgreSQL Database Management"
